No.,Part Number,Internal References,Description - Item yang Ditawarkan,Qty.,UoM,Unit Price,Line Total,"Modal
Unit","Modal
Total","Laba
Unit","Laba
Total",Margin,Supplier,Item,Product,VN,Single Product
1,,G024094230,V - KAMERA FIXED DOME 2 MP DS-2CD1121G0-I,30,Unit,440000,13200000.0,387387,11621622.0,52613,1578378.0,0.1196,CV. Sarana Duta Solusindo,Material Unit,Material cctv,,
2,,G024094232,V - KAMERA DOME MOTORIZED 2 MP DS-2CD2721GO-IZ,6,Unit,2021500,12129000.0,1779279,10675676.0,242221,1453324.0,0.1198,CV. Sarana Duta Solusindo,Material Unit,Material cctv,,
3,,G024094234,V - KAMERA FIXED BULLET 2 MP DS-2CD1021G0-I,11,Unit,419500,4614500.0,369369,4063063.0,50131,551437.0,0.1195,CV. Sarana Duta Solusindo,Material Unit,Material cctv,,
4,,G024094240,V - NVR 32 PORT KAMERA/4 PORT HDD DS-7732NXI-I4/S,2,Unit,6909500,13819000.0,6081081,12162162.0,828419,1656838.0,0.1199,CV. Sarana Duta Solusindo,Material Unit,Material cctv,,
5,,G024094236,V - NVR 16 PORT KAMERA/4 PORT HDD DS-7716NXI-I4/S,1,Unit,6142000,6142000.0,5405405,5405405.0,736595,736595.0,0.1199,CV. Sarana Duta Solusindo,Material Unit,Material cctv,,
6,,G024094244,V - Harddisk SEAGATE SKYHAWK AI for surveillance MFI (untuk NVR yg berada di ruang Server) 10 TB,8,Unit,6022000,48176000.0,5300000,42400000.0,722000,5776000.0,0.1199,CV. Sarana Duta Solusindo,Material Unit,Material cctv,yes,
7,,G024094246,V - Hikvision 24 Port Gigabit managed PoE Switch DS-3E1526P-EI,4,Unit,3583000,14332000.0,3153153,12612613.0,429847,1719387.0,0.12,CV. Sarana Duta Solusindo,Material Unit,Material cctv,yes,
8,,G024094248,V - Hikvision 16 Port Gigabit Managed Switch DS-3E1516-EI,3,Unit,1075000,3225000.0,945946,2837838.0,129054,387162.0,0.1201,CV. Sarana Duta Solusindo,Material Unit,Material cctv,yes,
9,,,Switch 24 Port Hikvision DS-3E1528-Si-24t4F,1,Unit,2687000,2687000.0,2364865,2364865.0,322135,322135.0,0.1199,CV. Sarana Duta Solusindo,Material Unit,Material cctv,,
10,,G024094252,"V - APC Lan Arester untuk kamera nomer 1 sd 8,17,18,23,24,25,26,",10,Unit,568000,5680000.0,500000,5000000.0,68000,680000.0,0.1197,"TOKOPEDIA, Tokopedia",Material Unit,Material cctv,,
11,,G024094254,V - Indorack Wall Mounted Rack 8U depth 450mm 8u Single Door WIR4508S,6,Unit,2124000,12744000.0,1869369,11216216.0,254631,1527784.0,0.1199,PT. BORNEO MEGA POWERINDO,Material Unit,Material cctv,,
12,,G024094256,V - Indorack Fix slave rack 1 U (untuk alas 3 unit NVR di rack server) FS90,1,Pcs,271500,271500.0,238739,238739.0,32761,32761.0,0.1207,PT. BORNEO MEGA POWERINDO,Material Unit,Material cctv,,
13,,G024094258,"V - Monitor TV 32"" Samsung (untuk live di ruang LP) UA32T4503",2,Unit,2559000,5118000.0,2252252,4504505.0,306748,613495.0,0.1199,PERDANA ELEKTRONIK,Material Unit,Material cctv,,
14,,G024094262,V - Monitor LED LG 24MR400 24 Inch,1,Unit,1254000,1254000.0,1103604,1103604.0,150396,150396.0,0.1199,CV. DB KLIK,Material Unit,Material cctv,,
15,HIkvision DS-1280ZJ-XS,G024094152,V -Junction Box khusus untuk pelindung konektor RG45 kamera Outdoor (kamera nomer 1 sd 32) PFA130-E,9,Unit,230500,2074500.0,202703,1824324.0,27797,250176.0,0.1206,PT. Integra Mitra Solusi,Material Unit,Material cctv,yes,
16,,,Door contact kecil-Besi untuk pintu gudang Mezanine (diseri ke zona 8 roof top),1,Unit,40000,40000.0,35000,35000.0,5000,5000.0,0.125,Jakarta alaram,Material Unit,Material shutter ,,
17,,G024094385,V - Roller Shutter Sensor Magnetic Door alarm contact with L Bracket (Zona 10 / Rolling Door Gudang),7,Unit,170500,1193500.0,150000,1050000.0,20500,143500.0,0.1202,Jakarta alaram,Material Unit,Material shutter ,,
18,,G024094195,V - Mouse Wireless Logitech M-185,2,Pcs,189500,379000.0,166667,333333.0,22833,45667.0,0.1205,CV. DB KLIK,Material Unit,Material shutter ,,
